X,Y,Z,Xr,Yr,Zr,DateTime,ID
-706,-119,300,15580,4732,-4096,2019-11-02 16:51:48.810402,jimmy
-732,-111,293,15308,4760,-3996,2019-11-02 16:51:48.834276,jimmy
-737,-121,323,15356,4784,-3832,2019-11-02 16:51:48.858053,jimmy
-706,-119,300,15376,4800,-4120,2019-11-02 16:51:48.881759,jimmy
-725,-118,287,15276,4852,-4008,2019-11-02 16:51:48.905475,jimmy
-741,-137,282,15352,4804,-4044,2019-11-02 16:51:48.929394,jimmy
-743,-206,217,15264,4612,-4108,2019-11-02 16:51:48.953014,jimmy
-715,-158,288,15200,4732,-4096,2019-11-02 16:51:48.978593,jimmy
-730,-129,326,15464,4720,-4332,2019-11-02 16:51:49.006050,jimmy
-767,-164,177,15404,4788,-4008,2019-11-02 16:51:49.030349,jimmy
-684,-121,365,15236,4568,-4016,2019-11-02 16:51:49.054228,jimmy
-754,-125,292,15580,5224,-4176,2019-11-02 16:51:49.079038,jimmy
-515,-128,231,15396,4736,-3908,2019-11-02 16:51:49.102855,jimmy
-710,-77,343,15348,4720,-4044,2019-11-02 16:51:49.127224,jimmy
-747,-113,292,15388,4804,-3944,2019-11-02 16:51:49.152486,jimmy
-722,-135,309,15300,4840,-4192,2019-11-02 16:51:49.182743,jimmy
-773,-135,247,15372,4880,-3996,2019-11-02 16:51:49.210336,jimmy
-733,-164,287,15268,4800,-4052,2019-11-02 16:51:49.234312,jimmy
-731,-121,320,15400,4708,-4136,2019-11-02 16:51:49.258115,jimmy
-720,-132,280,15564,4796,-4088,2019-11-02 16:51:49.281995,jimmy
-747,-133,278,15336,4984,-4104,2019-11-02 16:51:49.305793,jimmy
-707,-85,334,15292,4668,-3944,2019-11-02 16:51:49.332591,jimmy
-745,-135,288,15324,4920,-4028,2019-11-02 16:51:49.363963,jimmy
-748,-151,236,15300,4812,-3876,2019-11-02 16:51:49.392906,jimmy
-754,-138,241,15328,4760,-4004,2019-11-02 16:51:49.422952,jimmy
-746,-154,248,15232,4852,-3984,2019-11-02 16:51:49.452513,jimmy
-758,-123,281,15428,4912,-4088,2019-11-02 16:51:49.483052,jimmy
-685,-105,381,15312,4692,-3876,2019-11-02 16:51:49.511477,jimmy
-729,-136,297,15436,4924,-4060,2019-11-02 16:51:49.541461,jimmy
-732,-154,259,15560,4816,-3996,2019-11-02 16:51:49.570630,jimmy
-745,-111,312,15316,4780,-4088,2019-11-02 16:51:49.597376,jimmy
-722,-106,369,15236,4608,-4060,2019-11-02 16:51:49.626706,jimmy
-720,-131,248,15288,4868,-3860,2019-11-02 16:51:49.652757,jimmy
-754,-142,254,15280,4848,-4024,2019-11-02 16:51:49.678402,jimmy
-725,-123,330,15308,4716,-4000,2019-11-02 16:51:49.704754,jimmy
-747,-127,315,15568,4940,-4064,2019-11-02 16:51:49.731117,jimmy
-721,-104,309,15264,4820,-4060,2019-11-02 16:51:49.758693,jimmy
-751,-113,288,15372,4756,-4036,2019-11-02 16:51:49.789579,jimmy
-741,-129,320,15324,4872,-4088,2019-11-02 16:51:49.817564,jimmy
-755,-125,280,15372,4764,-4244,2019-11-02 16:51:49.846040,jimmy
-753,-105,277,15284,4800,-4040,2019-11-02 16:51:49.874314,jimmy
-721,-122,276,15320,4820,-3936,2019-11-02 16:51:49.901590,jimmy
-743,-134,295,15240,4824,-3972,2019-11-02 16:51:49.929446,jimmy
-722,-130,300,15260,4732,-4076,2019-11-02 16:51:49.956089,jimmy
-742,-145,288,15296,4820,-4024,2019-11-02 16:51:49.980439,jimmy
-740,-113,341,15140,4764,-3972,2019-11-02 16:51:50.004256,jimmy
-751,-114,289,15328,4792,-4052,2019-11-02 16:51:50.028437,jimmy
-743,-113,301,15372,4904,-3948,2019-11-02 16:51:50.053201,jimmy
-724,-115,297,15120,4840,-4144,2019-11-02 16:51:50.080881,jimmy
-732,-144,242,15260,4824,-3872,2019-11-02 16:51:50.105643,jimmy
-715,-116,296,15236,4640,-3948,2019-11-02 16:51:50.129957,jimmy
-730,-136,293,15216,4816,-3988,2019-11-02 16:51:50.153804,jimmy
-756,-121,269,15292,4912,-3932,2019-11-02 16:51:50.177739,jimmy
-732,-100,304,15396,4940,-4172,2019-11-02 16:51:50.201610,jimmy
-731,-104,271,15268,4768,-3904,2019-11-02 16:51:50.226200,jimmy
-720,-113,310,15288,4780,-4060,2019-11-02 16:51:50.251937,jimmy
-744,-134,291,15292,4912,-3988,2019-11-02 16:51:50.277283,jimmy
-740,-119,286,15300,4836,-3920,2019-11-02 16:51:50.302275,jimmy
-714,-98,307,15352,4792,-4284,2019-11-02 16:51:50.328510,jimmy
-757,-133,282,15280,4848,-4008,2019-11-02 16:51:50.353174,jimmy
-744,-142,278,15300,4836,-3896,2019-11-02 16:51:50.378677,jimmy
-742,-117,280,15364,4848,-4052,2019-11-02 16:51:50.403352,jimmy
-739,-112,299,15232,4740,-3980,2019-11-02 16:51:50.428882,jimmy
-693,-106,342,15132,4780,-4084,2019-11-02 16:51:50.452827,jimmy
-730,-115,296,15352,4808,-4116,2019-11-02 16:51:50.477212,jimmy
-723,-131,279,15248,4880,-4016,2019-11-02 16:51:50.501315,jimmy
-736,-106,319,15288,4820,-4144,2019-11-02 16:51:50.527246,jimmy
-759,-133,281,15584,4760,-4020,2019-11-02 16:51:50.561423,jimmy
-720,-107,288,15408,4828,-4260,2019-11-02 16:51:50.591351,jimmy
-751,-134,269,15372,4832,-4088,2019-11-02 16:51:50.621895,jimmy
-741,-90,340,15436,4792,-4016,2019-11-02 16:51:50.655244,jimmy
-733,-133,276,15228,4840,-3956,2019-11-02 16:51:50.683500,jimmy
-725,-104,330,15276,4952,-4020,2019-11-02 16:51:50.714841,jimmy
-742,-123,308,15328,4632,-3932,2019-11-02 16:51:50.742678,jimmy
-735,-130,322,15368,4816,-3860,2019-11-02 16:51:50.770088,jimmy
-761,-133,269,15312,4748,-4028,2019-11-02 16:51:50.798545,jimmy
-754,-116,295,15384,4808,-3900,2019-11-02 16:51:50.823896,jimmy
-743,-121,313,15428,4796,-4064,2019-11-02 16:51:50.847914,jimmy
-717,-114,313,15368,4812,-4044,2019-11-02 16:51:50.871938,jimmy
-715,-116,340,15376,4848,-3992,2019-11-02 16:51:50.895801,jimmy
-730,-117,282,15232,4792,-3912,2019-11-02 16:51:50.919832,jimmy
-749,-117,290,15388,4780,-4020,2019-11-02 16:51:50.943693,jimmy
-742,-103,312,15296,4748,-3972,2019-11-02 16:51:50.976143,jimmy
-740,-144,295,15328,4872,-3948,2019-11-02 16:51:51.005605,jimmy
-725,-117,287,15420,4816,-4136,2019-11-02 16:51:51.037493,jimmy
-739,-132,277,15308,4836,-4000,2019-11-02 16:51:51.071370,jimmy
-729,-118,316,15308,4904,-4168,2019-11-02 16:51:51.099148,jimmy
-742,-121,306,15252,4620,-4128,2019-11-02 16:51:51.128494,jimmy
-737,-105,318,15312,5008,-3876,2019-11-02 16:51:51.158163,jimmy
-741,-138,278,15104,4860,-3996,2019-11-02 16:51:51.186880,jimmy
-747,-110,276,15360,4824,-4036,2019-11-02 16:51:51.218580,jimmy
-735,-120,295,15352,5040,-3852,2019-11-02 16:51:51.247010,jimmy
-723,-133,319,15260,5096,-3924,2019-11-02 16:51:51.278725,jimmy
-730,-133,311,15440,4956,-3848,2019-11-02 16:51:51.306803,jimmy
-767,-117,271,15380,4904,-4064,2019-11-02 16:51:51.334973,jimmy
-722,-118,303,15368,4728,-3868,2019-11-02 16:51:51.358945,jimmy
-755,-99,303,15364,4844,-4160,2019-11-02 16:51:51.383055,jimmy
-737,-115,317,15328,4852,-4220,2019-11-02 16:51:51.407161,jimmy
-740,-110,295,15320,4796,-4120,2019-11-02 16:51:51.431211,jimmy
-765,-139,246,15292,4824,-4292,2019-11-02 16:51:51.455229,jimmy
-724,-102,313,15280,4792,-3976,2019-11-02 16:51:51.479318,jimmy
-722,-126,289,15376,4772,-4072,2019-11-02 16:51:51.503275,jimmy
-740,-117,295,15416,4836,-4096,2019-11-02 16:51:51.528340,jimmy
-736,-105,322,15432,4892,-4016,2019-11-02 16:51:51.555546,jimmy
-734,-105,316,15376,4848,-4064,2019-11-02 16:51:51.582217,jimmy
-754,-106,322,15260,4868,-3956,2019-11-02 16:51:51.607179,jimmy
-782,-120,244,15372,4900,-3976,2019-11-02 16:51:51.636364,jimmy
-738,-120,270,15248,4844,-3952,2019-11-02 16:51:51.665107,jimmy
-680,-40,365,15424,4248,-3604,2019-11-02 16:51:51.689651,jimmy
-760,-106,186,15136,4916,-3944,2019-11-02 16:51:51.713826,jimmy
-630,-37,555,15180,4804,-3892,2019-11-02 16:51:51.737895,jimmy
-793,-132,2,15336,5196,-3960,2019-11-02 16:51:51.761958,jimmy
-722,-96,322,15056,4704,-3920,2019-11-02 16:51:51.786430,jimmy
-706,-121,332,15260,5116,-3964,2019-11-02 16:51:51.810436,jimmy
-776,-137,270,15388,4940,-4016,2019-11-02 16:51:51.834428,jimmy
-735,-103,326,15224,4800,-3952,2019-11-02 16:51:51.858461,jimmy
-753,-118,270,15232,4692,-3968,2019-11-02 16:51:51.882495,jimmy
-746,-119,278,15324,4916,-3924,2019-11-02 16:51:51.906512,jimmy
-747,-111,275,15280,5088,-3964,2019-11-02 16:51:51.930706,jimmy
X,Y,Z,Xr,Yr,Zr,DateTime,ID
-741,-118,321,15456,4764,-3992,2019-11-02 16:52:45.569403,jimmy
-749,-108,312,15352,4808,-4088,2019-11-02 16:52:45.594007,jimmy
-742,-123,286,15316,4836,-3924,2019-11-02 16:52:45.617277,jimmy
-752,-120,293,15340,4828,-3956,2019-11-02 16:52:45.640823,jimmy
-716,-124,302,15312,4840,-3960,2019-11-02 16:52:45.663442,jimmy
-740,-115,280,15356,4924,-4084,2019-11-02 16:52:45.687646,jimmy
-753,-121,283,15376,4844,-4004,2019-11-02 16:52:45.710360,jimmy
-727,-126,292,15308,4836,-3888,2019-11-02 16:52:45.733262,jimmy
-720,-106,296,15312,4924,-4044,2019-11-02 16:52:45.756004,jimmy
-728,-120,310,15324,4796,-4040,2019-11-02 16:52:45.779617,jimmy
-714,-125,335,15260,4880,-4036,2019-11-02 16:52:45.804284,jimmy
-747,-127,301,15440,4716,-4192,2019-11-02 16:52:45.831182,jimmy
-738,-119,284,15336,4912,-3900,2019-11-02 16:52:45.860630,jimmy
-729,-123,296,15384,4836,-4092,2019-11-02 16:52:45.893076,jimmy
-726,-140,281,15288,4908,-4020,2019-11-02 16:52:45.927190,jimmy
-741,-102,313,15124,4840,-3856,2019-11-02 16:52:45.959641,jimmy
-721,-115,332,15224,4792,-3908,2019-11-02 16:52:45.999164,jimmy
-714,-133,300,15232,4660,-4052,2019-11-02 16:52:46.038398,jimmy
-698,-122,337,15524,4876,-4048,2019-11-02 16:52:46.063051,jimmy
-730,-154,280,15256,4860,-4032,2019-11-02 16:52:46.090305,jimmy
-734,-133,298,15568,4872,-3864,2019-11-02 16:52:46.114187,jimmy
-724,-103,351,15284,4900,-3964,2019-11-02 16:52:46.137509,jimmy
-763,-125,251,15336,4712,-3948,2019-11-02 16:52:46.160985,jimmy
-707,-114,324,15292,4632,-3920,2019-11-02 16:52:46.183870,jimmy
-719,-112,319,15360,4760,-4000,2019-11-02 16:52:46.213679,jimmy
-730,-109,282,15572,5084,-3944,2019-11-02 16:52:46.242370,jimmy
-727,-175,296,15324,4792,-3916,2019-11-02 16:52:46.272844,jimmy
-731,-113,323,15364,4888,-4012,2019-11-02 16:52:46.304682,jimmy
-734,-137,282,15352,4836,-3900,2019-11-02 16:52:46.339800,jimmy
-741,-125,302,15260,4816,-3880,2019-11-02 16:52:46.371525,jimmy
-705,-152,306,15300,4852,-3892,2019-11-02 16:52:46.398356,jimmy
-737,-122,283,15248,4832,-3952,2019-11-02 16:52:46.421777,jimmy
-723,-95,327,15348,4772,-4296,2019-11-02 16:52:46.444888,jimmy
-727,-133,291,15444,4748,-3936,2019-11-02 16:52:46.467917,jimmy
-743,-141,293,15348,4796,-4308,2019-11-02 16:52:46.490801,jimmy
-710,-118,358,15388,4796,-4000,2019-11-02 16:52:46.513736,jimmy
-728,-114,305,15356,4800,-4044,2019-11-02 16:52:46.543384,jimmy
-751,-127,316,15344,4872,-4060,2019-11-02 16:52:46.573399,jimmy
-760,-110,262,15356,4748,-4028,2019-11-02 16:52:46.599997,jimmy
-720,-145,287,15404,4884,-4040,2019-11-02 16:52:46.623308,jimmy
-728,-118,317,15336,4752,-4036,2019-11-02 16:52:46.646405,jimmy
-738,-99,301,15412,4776,-4024,2019-11-02 16:52:46.669563,jimmy
-739,-135,316,15380,4940,-4112,2019-11-02 16:52:46.693014,jimmy
-753,-126,294,15232,4732,-4064,2019-11-02 16:52:46.716669,jimmy
-723,-131,288,15292,4884,-3888,2019-11-02 16:52:46.742806,jimmy
-711,-123,330,15484,4776,-3952,2019-11-02 16:52:46.767990,jimmy
-731,-91,306,15424,4832,-3952,2019-11-02 16:52:46.793223,jimmy
-720,-121,313,15224,4804,-3812,2019-11-02 16:52:46.818547,jimmy
-745,-103,300,15356,4900,-3876,2019-11-02 16:52:46.842725,jimmy
-740,-118,312,15208,4860,-3928,2019-11-02 16:52:46.869214,jimmy
-734,-114,355,15108,5044,-3848,2019-11-02 16:52:46.897540,jimmy
-723,-131,288,15396,4924,-3948,2019-11-02 16:52:46.924208,jimmy
-722,-136,308,15264,4760,-3952,2019-11-02 16:52:46.948754,jimmy
-706,-129,347,15432,4812,-4028,2019-11-02 16:52:46.971923,jimmy
-729,-130,273,15108,4980,-3948,2019-11-02 16:52:46.995301,jimmy
